,lname,fname,party,state,anti_abortion,pro_abortion_rights,candidate_committees,democratic_candidate_committees,democratic_leadership_pac,democratic,environment,foreign_defense_policy,gun_control,gun_rights,human_rights,leadership_pacs,lgbtqia_rights,pro_israel,republican_candidate_committees,republican_leadership_pac,republican,womens_issues,in_office,total_donations,votes
185,O'Dea,Joe,R,CO,0,0,5171,0,0,0,0,14532,0,16650,0,194500,0,24492,5171,165000,138586,0,0,564102,1031693.0
191,Oz,Mehmet,R,PA,5650,0,21000,0,0,127400,0,0,0,14433,11284,306400,0,121535,21000,262400,253540,0,0,1144642,2460602.0
192,Padilla,Alex,D,CA,0,20975,47500,47500,454300,323695,24455,5800,30700,0,193394,469200,42612,30850,0,0,0,2000,1,1692982,3202616.0
194,Paul,Rand,R,KY,0,0,7000,0,0,0,0,0,0,210938,84861,292300,0,0,7000,260000,2080527,0,1,2942627,910397.0
196,Perkins,Jo Rae,R,OR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9790,0,0,9790,554413.0
198,Pinion,Joseph III,R,NY,0,0,2000,0,0,0,0,0,0,0,0,12500,0,0,2000,12500,21655,0,0,50655,2441975.0
208,Rubio,Marco,R,FL,39116,0,10400,0,0,1000,0,16600,0,129143,16489,238400,0,365528,10400,162500,1346625,0,1,2336202,4474847.0
209,Ryan,Tim,D,OH,0,38471,49792,49792,492200,797878,66739,53330,57171,0,93694,523200,0,227735,0,0,0,359598,1,2809601,1883223.0
211,Salvi,Kathy,R,IL,200,0,1000,0,0,0,0,0,0,0,0,23891,0,0,1000,13000,28634,0,0,67725,1701055.0
216,Schatz,Brian,D,HI,0,0,10500,10500,225000,43332,10681,1000,6000,0,7812,235000,12,6000,0,0,0,0,1,555838,227825.0
218,Schmitt,Eric,R,MO,11500,0,9640,0,0,0,0,0,0,45110,1000,205900,0,79550,9640,186500,321269,0,0,870109,785330.0
219,Schumer,Charles E,D,NY,0,19000,8800,8800,193900,534611,128883,10200,75586,0,135615,211300,71061,546007,0,0,0,207304,1,2151068,3189890.0
221,Scott,Tim,R,SC,22905,0,15500,0,0,5000,6010,0,0,85549,118422,364190,0,130830,15500,285000,968354,0,1,2017261,742616.0
228,Smiley,Tiffany,R,WA,1000,0,3000,0,0,0,0,0,0,100156,0,277800,0,47827,3000,250500,599767,24285,0,1307335,738618.0
238,Thune,John,R,SD,7725,0,-1400,0,0,38050,15500,0,0,38542,0,330500,0,229382,-1400,287500,176549,0,1,1120949,125483.0
242,Tshibaka,Kelly,R,AK,11960,0,0,0,0,0,0,0,0,0,500,13900,0,2000,0,0,231314,7400,0,267074,117299.0
244,Van Hollen,Chris,D,MD,0,1875,13500,13500,364400,100991,21186,7525,20375,0,24150,374400,4500,54230,0,0,0,19572,1,1020205,922821.0
245,Vance,J D,R,OH,17261,0,24240,0,0,0,2900,0,0,55822,15,401200,0,167324,24240,304900,588726,0,0,1586628,2147898.0
247,Walker,Herschel,R,GA,60008,0,53300,0,0,21100,439,34,0,198957,258052,513150,0,63176,53300,445950,1273117,0,0,2940583,1721244.0
250,Warnock,Raphael,D,GA,0,222678,60501,60501,541900,2490620,336340,8810,139217,0,628565,568200,123528,489917,0,0,25,1389134,1,7059937,1820633.0
252,Welch,Peter,D,VT,0,1750,44600,44600,342501,55083,20975,2250,5500,0,25262,361001,2512,77391,0,0,0,402,1,983828,195295.0
258,Wyden,Ron,D,OR,0,2362,6500,6500,271500,281238,68967,0,10900,0,105222,282000,18672,197974,0,0,0,0,1,1251836,736343.0
259,Young,Todd,R,IN,66,0,7000,0,0,227420,5900,1000,0,19144,23753,322400,0,170528,7000,262500,140223,0,1,1186935,1090390.0
